"Age","Uncertainty","Landform","Sigma"
22.8644063144287,1.90236007200851,"Arànser Left","1 sigma"
23.1948485586538,1.73767879776014,"Arànser Left","1 sigma"
23.5087351442013,1.50695275619318,"Arànser Left","1 sigma"
21.6470593004927,1.73769261366785,"Arànser Left","1 sigma"
23.4365163941423,0.92838127644132,"Arànser Left","1 sigma"
22.5487684166292,1.84917486703423,"Arànser Left","1 sigma"
21.1267392253534,1.24812124718059,"Arànser Left","1 sigma"
23.3804303747256,1.75381769826154,"Arànser Left","1 sigma"
23.0428880959436,1.58049576118461,"Arànser Left","1 sigma"
22.2164443943023,1.92845733204233,"Arànser Left","1 sigma"
22.8207215924307,1.86114593259073,"Arànser Left","1 sigma"
24.3387599265485,1.29032065587278,"Arànser Left","1 sigma"
24.1065754741518,0.572318495622334,"Arànser Left","1 sigma"
23.851861246441,1.71488882178949,"Arànser Left","1 sigma"
22.8862031240065,1.35073549631739,"Arànser Left","1 sigma"
23.0835912606205,1.53842878869766,"Arànser Left","1 sigma"
22.941442410328,1.07419319905473,"Arànser Left","1 sigma"
22.7022770704462,1.29785231649307,"Arànser Left","1 sigma"
23.1130250808674,0.571336942023743,"Arànser Left","1 sigma"
23.3028483163282,1.2739927872169,"Arànser Left","1 sigma"
23.5675857556484,0.949284062532046,"Arànser Left","1 sigma"
22.9130829182324,1.20806074174608,"Arànser Left","1 sigma"
23.8170977103538,1.36173091143976,"Arànser Left","1 sigma"
23.0781315907851,1.62939357265973,"Arànser Left","1 sigma"
23.2579136291557,1.27059978986924,"Arànser Left","1 sigma"
23.563430545481,1.19013498675136,"Arànser Left","1 sigma"
23.3925147333966,1.73548777138619,"Arànser Left","1 sigma"
23.0089717485407,1.71789769492886,"Arànser Left","1 sigma"
23.6995376889671,1.18380234616332,"Arànser Left","1 sigma"
23.4709859382758,1.37767345963348,"Arànser Left","1 sigma"
23.8410168450726,1.38214681535421,"Arànser Left","1 sigma"
23.2858355739296,1.49094538542191,"Arànser Left","1 sigma"
23.9021716538935,1.5083806481234,"Arànser Left","1 sigma"
23.857367911906,1.52909984592105,"Arànser Left","1 sigma"
23.431239173865,1.33441801261479,"Arànser Left","1 sigma"
23.5766837738305,1.55325522925313,"Arànser Left","1 sigma"
23.9026124926657,1.14917930357415,"Arànser Left","1 sigma"
23.3358354342407,1.30546864918635,"Arànser Left","1 sigma"
23.2306849597807,1.24777063483025,"Arànser Left","1 sigma"
23.5537498105438,1.78811151895369,"Arànser Left","1 sigma"
22.5859992200176,1.2709733944988,"Arànser Left","1 sigma"
23.3628138891396,0.737945457174342,"Arànser Left","1 sigma"
22.9406549464768,1.27020548424103,"Arànser Left","1 sigma"
23.2604259089113,1.67277728240571,"Arànser Left","1 sigma"
