"Age","Uncertainty","Landform","Sigma"
23.3296809659794,1.95428505924346,"Arànser Left","2 sigma"
22.7395531234681,1.77200000339563,"Arànser Left","2 sigma"
23.2370696715488,1.33686302879634,"Arànser Left","2 sigma"
17.2177769608403,1.43749488610921,"Arànser Left","2 sigma"
23.1259982048346,1.76241115460964,"Arànser Left","2 sigma"
22.9168214382942,0.858767860129038,"Arànser Left","2 sigma"
23.9478969677469,1.08849535935069,"Arànser Left","2 sigma"
23.0889627301872,1.57137309823972,"Arànser Left","2 sigma"
22.684530322472,0.99510757260077,"Arànser Left","2 sigma"
23.2324458992879,1.92895763760494,"Arànser Left","2 sigma"
22.5662413387667,2.13313048637765,"Arànser Left","2 sigma"
23.3359417659403,1.88913070236328,"Arànser Left","2 sigma"
24.0837134996,0.990248405892494,"Arànser Left","2 sigma"
24.1124428596708,0.616811392451716,"Arànser Left","2 sigma"
23.1970620277152,1.55408661180379,"Arànser Left","2 sigma"
22.6090350434592,1.32863728263824,"Arànser Left","2 sigma"
23.6616710148892,1.88967072022687,"Arànser Left","2 sigma"
22.8503353320545,0.614607955304048,"Arànser Left","2 sigma"
23.4050812617922,1.50497697537608,"Arànser Left","2 sigma"
22.9483901252752,2.14207073604063,"Arànser Left","2 sigma"
22.792310127447,2.14607680844429,"Arànser Left","2 sigma"
23.4267722060256,1.59407686940221,"Arànser Left","2 sigma"
23.6955892933866,1.13074892791278,"Arànser Left","2 sigma"
23.4564086886521,1.94767189045821,"Arànser Left","2 sigma"
22.2778268186489,1.16139879321844,"Arànser Left","2 sigma"
23.1210544229214,1.39474592871198,"Arànser Left","2 sigma"
21.6662195252961,1.40572989478176,"Arànser Left","2 sigma"
23.1959655131842,1.13022774540475,"Arànser Left","2 sigma"
23.0878934785275,1.56106584722528,"Arànser Left","2 sigma"
24.2976841336762,0.798246643545294,"Arànser Left","2 sigma"
23.5365048723712,1.06663120871742,"Arànser Left","2 sigma"
23.4100943465072,2.0745720569682,"Arànser Left","2 sigma"
23.0280866874649,1.11707811344623,"Arànser Left","2 sigma"
23.8177113687706,1.28320891375663,"Arànser Left","2 sigma"
22.8052497129365,2.05850400345282,"Arànser Left","2 sigma"
23.6353099432717,1.40666043186483,"Arànser Left","2 sigma"
22.8203138793231,0.774764756370826,"Arànser Left","2 sigma"
23.1680336845658,1.48776725581315,"Arànser Left","2 sigma"
23.5479828497932,1.78646323752214,"Arànser Left","2 sigma"
22.4964061229323,1.60671475867408,"Arànser Left","2 sigma"
24.1146548069444,1.328401205459,"Arànser Left","2 sigma"
22.2241982872088,1.62178037163423,"Arànser Left","2 sigma"
23.5913846469134,1.0143203127477,"Arànser Left","2 sigma"
23.6657722463201,1.90803999426688,"Arànser Left","2 sigma"
23.554984401873,1.71654078435726,"Arànser Left","2 sigma"
23.8379379255351,1.50952164446681,"Arànser Left","2 sigma"
23.1580683557889,1.57996938657981,"Arànser Left","2 sigma"
23.7276972079879,1.46598616297033,"Arànser Left","2 sigma"
