"Age","Uncertainty","Landform","Sigma"
22.425273789824,0.807978898839943,"Arànser Right","2 sigma"
22.3985416338084,1.70239354060795,"Arànser Right","2 sigma"
22.9181376597784,1.08637133660738,"Arànser Right","2 sigma"
21.7628447504698,1.31582611274019,"Arànser Right","2 sigma"
22.0847499611389,1.55163389403316,"Arànser Right","2 sigma"
22.159455236487,1.04612634296767,"Arànser Right","2 sigma"
22.5924676700531,0.958786142890705,"Arànser Right","2 sigma"
21.7945101905693,1.47677099558588,"Arànser Right","2 sigma"
22.7206854533315,1.28666669096885,"Arànser Right","2 sigma"
21.9933336548869,1.03854783381776,"Arànser Right","2 sigma"
21.9070280888673,0.761957095842356,"Arànser Right","2 sigma"
22.0062540420719,0.734113549957361,"Arànser Right","2 sigma"
22.4909577585342,1.11525646945104,"Arànser Right","2 sigma"
20.690846549806,1.05655043795983,"Arànser Right","2 sigma"
22.2423665767853,1.18960305590868,"Arànser Right","2 sigma"
23.4890960698089,1.01903407929845,"Arànser Right","2 sigma"
21.9664427744239,1.42389548871355,"Arànser Right","2 sigma"
20.5197028834531,1.81684067075165,"Arànser Right","2 sigma"
22.5429247404822,1.06666718209155,"Arànser Right","2 sigma"
22.058705351623,1.10664192767742,"Arànser Right","2 sigma"
18.5891211588711,1.12710568147255,"Arànser Right","2 sigma"
22.4355985472045,1.26115032530076,"Arànser Right","2 sigma"
22.2914946005664,0.571392536032963,"Arànser Right","2 sigma"
21.391382270864,0.973499349316562,"Arànser Right","2 sigma"
22.3336203213698,1.09962476100869,"Arànser Right","2 sigma"
22.1811480993958,1.09571545745536,"Arànser Right","2 sigma"
22.6315640084537,0.929745254419374,"Arànser Right","2 sigma"
22.1185199870963,1.58581352369265,"Arànser Right","2 sigma"
21.8145520026306,1.52194425796451,"Arànser Right","2 sigma"
21.3531362888604,1.59745852009482,"Arànser Right","2 sigma"
21.6619763145925,1.15954999039546,"Arànser Right","2 sigma"
22.869753146028,1.29545541336122,"Arànser Right","2 sigma"
22.5218411751894,1.12912448764411,"Arànser Right","2 sigma"
22.1922043875788,1.42836697441321,"Arànser Right","2 sigma"
21.8456075842456,1.59479270312514,"Arànser Right","2 sigma"
22.5933678930963,0.868346773134273,"Arànser Right","2 sigma"
22.6085834530048,1.1789022686714,"Arànser Right","2 sigma"
22.1572861626228,0.797983643358263,"Arànser Right","2 sigma"
22.2426880008463,1.46999814335671,"Arànser Right","2 sigma"
22.3827132250427,1.31842204640523,"Arànser Right","2 sigma"
22.4871413728424,1.13572889334347,"Arànser Right","2 sigma"
21.6505935361412,1.3383757050054,"Arànser Right","2 sigma"
22.5688822154371,1.28294764989222,"Arànser Right","2 sigma"
22.08090211929,1.07865076820443,"Arànser Right","2 sigma"
22.7198883107046,0.853773390293613,"Arànser Right","2 sigma"
22.367836869495,1.13327877154057,"Arànser Right","2 sigma"
22.540349104001,1.33689332064807,"Arànser Right","2 sigma"
21.8551607472899,1.33987938403547,"Arànser Right","2 sigma"
22.5981733046071,0.996910782863317,"Arànser Right","2 sigma"
22.0769457981929,1.41427124051659,"Arànser Right","2 sigma"
22.2667520507203,0.983855328471853,"Arànser Right","2 sigma"
22.242594348348,1.33793836908732,"Arànser Right","2 sigma"
22.3573910488718,0.853041027086223,"Arànser Right","2 sigma"
21.9543203898102,1.31480514303397,"Arànser Right","2 sigma"
21.7803144902681,1.28132679956715,"Arànser Right","2 sigma"
19.4011530549644,1.07366813300366,"Arànser Right","2 sigma"
21.2504337802761,1.243643934526,"Arànser Right","2 sigma"
22.0133630559135,1.25942245291579,"Arànser Right","2 sigma"
22.8983212986817,1.55615803613196,"Arànser Right","2 sigma"
22.585725474935,0.791306311981834,"Arànser Right","2 sigma"
22.3031553397358,1.06121543585021,"Arànser Right","2 sigma"
21.6831439833737,1.72714329145085,"Arànser Right","2 sigma"
22.2878055666288,2.02922326343652,"Arànser Right","2 sigma"
21.1032719409261,1.70914647716453,"Arànser Right","2 sigma"
21.7703963305257,1.33874767502549,"Arànser Right","2 sigma"
