Age,Uncertainty,Landform,Sigma
12.55157236,0.299321767,Outer Pleta Naua,2 sigma
12.46066846,0.310153191,Outer Pleta Naua,2 sigma
12.80842213,0.23922322,Outer Pleta Naua,2 sigma
12.37496499,0.359108365,Outer Pleta Naua,2 sigma
12.76745512,0.294639008,Outer Pleta Naua,2 sigma
12.77630794,0.351037511,Outer Pleta Naua,2 sigma
12.57030227,0.556271672,Outer Pleta Naua,2 sigma
12.41231864,0.346003753,Outer Pleta Naua,2 sigma
12.18261908,0.089071969,Outer Pleta Naua,2 sigma
12.38974812,0.568589846,Outer Pleta Naua,2 sigma
12.37558656,0.369149561,Outer Pleta Naua,2 sigma
12.49410373,0.292004345,Outer Pleta Naua,2 sigma
12.70238259,0.239961152,Outer Pleta Naua,2 sigma
12.43109355,0.114844594,Outer Pleta Naua,2 sigma
12.38672964,0.384368188,Outer Pleta Naua,2 sigma
12.29121716,0.152115396,Outer Pleta Naua,2 sigma
12.62193736,0.363123391,Outer Pleta Naua,2 sigma
12.46646819,0.334695515,Outer Pleta Naua,2 sigma
12.43623037,0.23402214,Outer Pleta Naua,2 sigma
12.28049619,0.2536585,Outer Pleta Naua,2 sigma
12.68381185,0.30511711,Outer Pleta Naua,2 sigma
12.23772636,0.121358315,Outer Pleta Naua,2 sigma
12.6645422,0.269542687,Outer Pleta Naua,2 sigma
12.13582319,0.10212215,Outer Pleta Naua,2 sigma
12.39507708,0.298687129,Outer Pleta Naua,2 sigma
12.51980383,0.46341778,Outer Pleta Naua,2 sigma
12.71518929,0.299868482,Outer Pleta Naua,2 sigma
12.72775972,0.229002091,Outer Pleta Naua,2 sigma
12.13766664,0.325150281,Outer Pleta Naua,2 sigma
12.80271368,0.311686173,Outer Pleta Naua,2 sigma
12.40100957,0.352264537,Outer Pleta Naua,2 sigma
12.60699968,0.392148128,Outer Pleta Naua,2 sigma
12.42423992,0.28777762,Outer Pleta Naua,2 sigma
12.56441052,0.237057279,Outer Pleta Naua,2 sigma
12.36441275,0.519908544,Outer Pleta Naua,2 sigma
12.54731729,0.359647226,Outer Pleta Naua,2 sigma
12.78461919,0.222654321,Outer Pleta Naua,2 sigma
12.54358388,0.294390369,Outer Pleta Naua,2 sigma
12.46161245,0.429105936,Outer Pleta Naua,2 sigma
12.35994386,0.301019365,Outer Pleta Naua,2 sigma
12.55155693,0.354230439,Outer Pleta Naua,2 sigma
12.60870012,0.277200673,Outer Pleta Naua,2 sigma
12.52225304,0.294056434,Outer Pleta Naua,2 sigma
12.68794306,0.333389428,Outer Pleta Naua,2 sigma
12.54174191,0.639039646,Outer Pleta Naua,2 sigma
12.7702159,0.188840081,Outer Pleta Naua,2 sigma
12.79965298,0.180538346,Outer Pleta Naua,2 sigma
12.51886644,0.450893349,Outer Pleta Naua,2 sigma
12.26136834,0.044636321,Outer Pleta Naua,2 sigma
12.59865873,0.171267768,Outer Pleta Naua,2 sigma
12.4979639,0.327711206,Outer Pleta Naua,2 sigma
12.41105865,0.422724774,Outer Pleta Naua,2 sigma
12.55391705,0.369595302,Outer Pleta Naua,2 sigma
12.59625777,0.225784375,Outer Pleta Naua,2 sigma
12.51362062,0.385533483,Outer Pleta Naua,2 sigma
12.60704895,0.400385671,Outer Pleta Naua,2 sigma
12.46207724,0.138059904,Outer Pleta Naua,2 sigma
12.49529364,0.409654875,Outer Pleta Naua,2 sigma
12.52068435,0.425175341,Outer Pleta Naua,2 sigma
12.10842974,0.199650476,Outer Pleta Naua,2 sigma
12.36645359,0.52726372,Outer Pleta Naua,2 sigma
12.56919307,0.352886407,Outer Pleta Naua,2 sigma
12.76420687,0.187070091,Outer Pleta Naua,2 sigma
12.52997412,0.360621568,Outer Pleta Naua,2 sigma
12.67380185,0.300328409,Outer Pleta Naua,2 sigma
12.75559835,0.261965769,Outer Pleta Naua,2 sigma
12.7083693,0.135777994,Outer Pleta Naua,2 sigma
12.76082999,0.283032285,Outer Pleta Naua,2 sigma
12.49526039,0.489507709,Outer Pleta Naua,2 sigma
12.91617343,0.14746368,Outer Pleta Naua,2 sigma
12.60844866,0.208122871,Outer Pleta Naua,2 sigma
12.59590736,0.394828889,Outer Pleta Naua,2 sigma
12.69912009,0.342437888,Outer Pleta Naua,2 sigma
12.52964817,0.488230709,Outer Pleta Naua,2 sigma
12.76307163,0.190020212,Outer Pleta Naua,2 sigma
12.3878194,0.504778367,Outer Pleta Naua,2 sigma
12.24294994,0.265769393,Outer Pleta Naua,2 sigma
12.25163359,0.151535409,Outer Pleta Naua,2 sigma
12.35028523,0.352574177,Outer Pleta Naua,2 sigma
12.62687671,0.3800689,Outer Pleta Naua,2 sigma
12.5236706,0.219475886,Outer Pleta Naua,2 sigma
12.3124561,0.160463109,Outer Pleta Naua,2 sigma
12.63891269,0.198569568,Outer Pleta Naua,2 sigma
12.84723328,0.049424925,Outer Pleta Naua,2 sigma
