Landform,Age,Uncertainty 1,Uncertainty 2,Sample name,Latitude,Longitude
Soum d'Ech Inner1,26.08416589277816,2.036380449980972,2.036380449980972,L-11,43.084579999999995,-0.08918
Soum d'Ech Inner1,26.383302141823375,2.037864421572776,2.037864421572776,L-12,43.08442,-0.08903
Soum d'Ech Inner1,23.32094844296156,2.024751897805994,2.024751897805994,L-13,43.084379999999996,-0.08852
Soum d'Ech Inner1,22.27131867832709,2.0213263735181317,2.0213263735181317,L-14,43.08449,-0.08826
Soum d'Ech Inner1,27.650452285898723,2.0446333451532657,2.0446333451532657,L-15,43.08466,-0.08855
Soum d'Ech Inner1,25.037171725745072,2.031531491878624,2.031531491878624,L-16,43.08471,-0.08822
Soum d'Ech Inner1,22.129247697085592,2.020904963927531,2.020904963927531,L-24,43.084990000000005,-0.08786000000000001
Soum d'Ech Inner1,27.264988401997766,2.042491837799179,2.042491837799179,L-25,43.08487,-0.08759
Soum d'Ech Inner1,21.225959234805355,2.018461989060797,2.018461989060797,L-26,43.0851,-0.08731
Soum d'Ech Inner1,26.59538758682552,2.0389429907794296,2.0389429907794296,L-27,43.08526,-0.08749
Soum d'Ech Inner1,23.962189425106526,2.0271143629282853,2.0271143629282853,L-35,43.08543,-0.08681
Soum d'Ech Inner1,26.551035268625128,2.038715622905493,2.038715622905493,L-36,43.08567,-0.08675
Soum d'Ech Inner1,23.626759334183102,2.0258531093902263,2.0258531093902263,L-37,43.08571,-0.08635
Soum d'Ech Inner1,30.85882330732183,2.0652187850981814,2.0652187850981814,L-38,43.08559,-0.08631
Soum d'Ech Inner1,26.905328045241223,2.040558586781369,2.040558586781369,L-39,43.08552,-0.0861
Soum d'Ech Inner1,23.065169517365778,2.0238665575408317,2.0238665575408317,L-40,43.08546,-0.08597
Soum d'Ech Inner1,15.28708791533597,2.0126409203661666,2.0126409203661666,L-41,43.08569,-0.08586
Soum d'Ech Inner1,20.03442044394994,2.01586598677444,2.01586598677444,L-42,43.08592,-0.08595
Soum d'Ech Inner1,28.897989292369967,2.052054891075759,2.052054891075759,L-43,43.08602,-0.08606
Soum d'Ech Inner1,26.671837781337324,2.039337153571816,2.039337153571816,L-44,43.08615,-0.08601
Soum d'Ech Inner1,26.500496415301356,2.038457708321815,2.038457708321815,L-45,43.086040000000004,-0.08575
Soum d'Ech Inner1,23.02203060253781,2.0237204476119373,2.0237204476119373,L-46,43.08616,-0.08575
Soum d'Ech Inner1,24.202289319335645,2.028051405331637,2.028051405331637,L-47,43.08602,-0.08562
Soum d'Ech Inner1,24.80960734479598,2.030548829997226,2.030548829997226,L-48,43.08612,-0.08527
Soum d'Ech Inner1,23.939761020256807,2.027028289314014,2.027028289314014,L-49,43.08633,-0.08544
Soum d'Ech Inner1,24.578840464050298,2.0295784100801106,2.0295784100801106,L-50,43.08638,-0.08561
Soum d'Ech Inner1,30.967183448164093,2.0659991120006294,2.0659991120006294,L-86,43.08817,-0.08165
Soum d'Ech Inner1,29.496022934447552,2.0558766658447003,2.0558766658447003,L-87,43.087990000000005,-0.08155
Soum d'Ech Inner1,25.59098235210973,2.034029374980646,2.034029374980646,L-88,43.08804,-0.08204
Soum d'Ech Inner1,29.33435197471256,2.0548267020378783,2.0548267020378783,L-89,43.08797,-0.08232
Soum d'Ech Inner1,26.501919459144098,2.038464953505417,2.038464953505417,L-90,43.087759999999996,-0.08216
Soum d'Ech Inner1,27.41521991332199,2.0433179268592596,2.0433179268592596,L-91,43.08801,-0.08276
Soum d'Ech Inner1,24.929062977793617,2.031061478930356,2.031061478930356,L-92,43.087590000000006,-0.08262
Soum d'Ech Inner1,29.822215423983383,2.0580328804423904,2.0580328804423904,L-93,43.08773,-0.08323
Soum d'Ech Inner1,30.437726284952724,2.0622386570618625,2.0622386570618625,L-94,43.0879,-0.08327000000000001
Soum d'Ech Inner1,26.7692071784474,2.039843289700389,2.039843289700389,L-95,43.08752,-0.08311
