Sample_name,Landform,Sub-Landform,Latitude_DD,Longitude_DD,Elevation_m,SH_Mean,SH_MAD,SH_SEM,TCN_Sample_Name,Calibrated_Age_ka,Calibrated_Uncertainty_ka,A_axis_cm,B_axis_cm,C_axis_cm,Ground_Height_cm,Volume_m3,Surface_area_m2,Sphericity,Mass_Tonnes,Landform_Age_ka,Landform_Uncertainty_ka,Relative_Difference_ka,Absolute_Difference_ka,Class_95,General_Class_95,Moraine_Group,AB_Ratio,AC_Ratio,Moss,Lichen,Embedded,Angularity,Fractured,Matrix,Crest_polyline_dist_m,Crest_polygon_dist_m,Front_Dist_m,Slope_Angle_deg
L-01,Soum d'Ech,Outer,43.0853,-0.08995,760,39.997,5.178,1.102832162,,24.17,1.701,350,240,220,240,18.48,42.76,0.79052281,49.7112,27.9981,1.0617,3.8281,3.8281,Young,Bad,OS,1.458,0.629,0.2,1,0.2,SA,0,0,47.83153485,43.35117,936.94911,12.17632
L-02,Soum d'Ech,Outer,43.08543,-0.08983,758,38.503,3.848,0.926005735,,25.846,1.707,190,120,70,120,1.596,8.9,0.742077691,4.29324,27.9981,1.0617,2.1521,2.1521,Good,Good,OS,1.583,0.368,0.4,1,0,A,0.25,0,56.74310077,48.19964,918.9901,12.56096
L-03,Soum d'Ech,Outer,43.08542,-0.08967,765,38.448,4.844,1.054609268,,25.908,1.707,340,250,190,190,16.15,39.42,0.783819124,43.4435,27.9981,1.0617,2.0901,2.0901,Good,Good,OS,1.36,0.559,0.4,1,0,SR,0,0,52.16300442,43.28171,903.03782,8.35306
L-04,Soum d'Ech,Outer,43.08546,-0.08953,765,39.406,3.947,0.867886309,,24.825,1.703,180,100,95,95,1.71,8.92,0.775264701,4.5999,27.9981,1.0617,3.1731,3.1731,Young,Bad,OS,1.8,0.528,0,1,0.4,SA,0.25,0,53.39387314,45.41817,886.96559,10.10097
L-05,Soum d'Ech,Outer,43.08543,-0.08929,766,38.522,5.398,1.183170175,,25.823,1.707,220,120,100,100,2.64,12.08,0.764691873,7.1016,27.9981,1.0617,2.1751,2.1751,Good,Good,OS,1.833,0.455,0.4,1,0.6,SA,0.5,0,44.95516472,36.90285,863.89161,19.61664
L-06,Soum d'Ech,Outer,43.08538,-0.08944,763,40.406,3.491,0.805133344,,23.722,1.7,250,105,100,105,2.625,12.35,0.745137989,7.06125,27.9981,1.0617,4.2761,4.2761,Young,Bad,OS,2.381,0.4,0.4,1,0.2,SR,0,0,42.870733,35.14822,881.40085,15.40279
L-07,Soum d'Ech,Outer,43.08523,-0.08962,760,39.12,4.132,0.938983898,,25.145,1.704,230,110,70,70,1.771,9.82,0.720861245,4.76399,27.9981,1.0617,2.8531,2.8531,Young,Bad,OS,2.091,0.304,0.2,1,0,R,0,0,30.73370167,21.54919,906.55356,14.17092
L-08,Soum d'Ech,Outer,43.08501,-0.08959,753,39.231,4.695,1.074653914,,25.02,1.704,110,95,40,40,0.418,3.73,0.724813289,1.12442,27.9981,1.0617,2.9781,2.9781,Young,Bad,C,1.158,0.364,0,1,0.4,R,0.25,0,6.540789381,0,914.04962,16.46288
L-09,Soum d'Ech,Outer,43.08495,-0.08936,753,38.485,4.446,1.037199,,25.866,1.707,160,90,75,75,1.08,6.63,0.767808825,2.9052,27.9981,1.0617,2.1321,2.1321,Good,Good,C,1.778,0.469,0.2,1,0.4,SR,0.25,0,4.904589899,0,894.18035,13.51858
L-10,Soum d'Ech,Outer,43.08488,-0.08918,750,42.571,4.887,1.13187082,,21.424,1.695,190,100,45,45,0.855,6.41,0.679626292,2.29995,27.9981,1.0617,6.5741,6.5741,Young,Bad,IS,1.9,0.237,0,1,0.6,SR,0,0,16.31751645,6.79737,880.08671,20.10418
L-11,Soum d'Ech,Inner,43.08458,-0.08918,744,36.642,4.268,0.93296337,,28.026,1.716,140,140,50,50,0.98,6.72,0.710011803,2.6362,27.9981,1.0617,-0.0279,0.0279,Good,Good,C,1,0.357,0.2,1,0,SA,0,0,6.922085123,0,896.40949,3.7594
L-12,Soum d'Ech,Inner,43.08442,-0.08903,740,38.164,5.426,1.234999552,,26.235,1.708,145,110,60,60,0.957,6.25,0.751413048,2.57433,27.9981,1.0617,1.7631,1.7631,Good,Good,IS,1.318,0.414,0.4,1,0.4,SR,0,0,14.32487166,8.55285,891.25279,14.64219
L-13,Soum d'Ech,Inner,43.08438,-0.08852,747,41.764,5.901,1.298359842,,22.267,1.697,350,270,180,180,17.01,41.22,0.775971337,45.7569,27.9981,1.0617,5.7311,5.7311,Young,Bad,C,1.296,0.514,0,1,0,A,0.75,0,3.554792444,0,845.9732,12.05721
L-14,Soum d'Ech,Inner,43.08449,-0.08826,747,38.361,3.934,0.931418524,,26.008,1.707,205,110,105,105,2.36775,11.125,0.772220515,6.3692475,27.9981,1.0617,1.9901,1.9901,Good,Good,C,1.864,0.512,0.6,1,0,A,0.25,0,0.51211156,0,815.15365,13.72415
L-15,Soum d'Ech,Inner,43.08466,-0.08855,755,36.318,4.715,1.064068412,,28.416,1.718,190,140,75,75,1.995,10.27,0.746235,5.36655,27.9981,1.0617,-0.4179,0.4179,Good,Good,C,1.357,0.395,0.4,1,0.6,A,0.75,0,5.381819172,0,831.77191,14.7043
L-16,Soum d'Ech,Inner,43.08471,-0.08822,755,40.795,4.045,0.914513818,,23.299,1.699,195,120,110,110,2.574,11.61,0.782331709,6.92406,27.9981,1.0617,4.6991,4.6991,Young,Bad,C,1.625,0.564,0.4,1,0.6,R,0,0,11.76523513,0,797.83076,7.65412
L-17,Soum d'Ech,Outer,43.08505,-0.08859,758,35.611,3.207,0.72222154,,29.283,1.722,160,130,70,70,1.456,8.22,0.75576462,3.91664,27.9981,1.0617,-1.2849,1.2849,Good,Good,IS,1.231,0.438,0.2,1,0.4,A,0.25,0,18.0640905,9.57393,813.41952,27.15855
L-18,Soum d'Ech,Outer,43.08513,-0.08891,762,38.009,4.402,1.041548515,,26.414,1.709,180,90,80,90,1.296,7.56,0.76038288,3.48624,27.9981,1.0617,1.5841,1.5841,Good,Good,C,2,0.444,0.4,1,0.2,SA,0,0,2.316005464,0,840.48869,19.10324
L-19,Soum d'Ech,Outer,43.08545,-0.08882,765,37.359,5.134,1.2267324,,27.173,1.712,200,170,95,95,3.23,13.83,0.764064976,8.6887,27.9981,1.0617,0.8251,0.8251,Good,Good,OS,1.176,0.475,0.2,1,0.2,SA,0.75,0,29.89696029,21.71129,815.54273,16.28394
L-20,Soum d'Ech,Outer,43.08534,-0.08863,774,38.8,4.996,1.138481679,,25.507,1.706,190,160,70,70,2.128,10.98,0.728667725,5.72432,27.9981,1.0617,2.4911,2.4911,Young,Bad,C,1.188,0.368,0.2,1,0,SR,0.5,0,10.53354925,0,802.05828,13.28648
L-21,Soum d'Ech,Outer,43.08558,-0.08824,775,36.026,5.965,1.228079779,,28.773,1.719,160,100,85,85,1.36,7.62,0.779031632,3.6584,27.9981,1.0617,-0.7749,0.7749,Good,Good,C,1.6,0.531,0.2,1,0.2,SR,0,0,3.553578911,0,751.24493,11.79273
